artists_name,track_name,streams
Fifty Fifty,Cupid - Twin Ver.,496795686
"Future, Lil Uzi Vert, Metro Boomin","All The Way Live  Spider-Man: Across the Spider-Verse   Metro Boomin & Future, Lil Uzi Vert ",37126685
"Gabito Ballesteros, Junior H, Peso Pluma",LADY GAGA,86444842
"Gorillaz, Bad Bunny","Tormenta  feat. Bad Bunny ",149778242
Jack Black,"Peaches  from The Super Mario Bros. Movie ",68216992
Karol G,MIENTRAS ME CURO DEL CORA,206399629
"Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin","Angel Pt 1  feat. Jimin of BTS, JVKE & Muni Long ",133753727
Lana Del Rey,Say Yes To Heaven,127567540
"Lana Del Rey, Taylor Swift","Snow On The Beach  feat. More Lana Del Rey ",60350538
Morgan Wallen,���98 Braves,56533272
Morgan Wallen,Ain���t Tha,88791109
Morgan Wallen,Born With A Beer In My Hand,34450974
Morgan Wallen,Devil Don���,32526947
Morgan Wallen,I Wrote The Book,83021468
"Morgan Wallen, Eric Church","Man Made A Bar  feat. Eric Church ",58890931
"Nicki Minaj, Ice Spice","Princess Diana  with Nicki Minaj ",104992946
"Offset, JID","Danger  Spider   Offset & JID ",24975653
Peggy Gou,It Goes Like  Nanana - Edit,57876440
"RM, Colde","Don't ever say love me  feat. RM of BTS ",34502215
"sped up nightcore, ARIZONATEARS, Lil Uzi Vert",Watch This - ARIZONATEARS Pluggnb Remix,207033255
"Steve Aoki, Tini, La Joaqui",Mu��,120972253
Taylor Swift,Hits Different,68616963
Taylor Swift,"Mine  Taylor's Version ",36912123
"Taylor Swift, Ice Spice","Karma  feat. Ice Spice ",46142772
The Kid Laroi,Love Again,147538971
"The Weeknd, Future","Double Fantasy  with Future ",96180277
"Tyler, The Creator",SORRY NOT SORRY,58473276
"WizKid, Toian, Metro Boomin, Don Toliver, Beam","Link Up  Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian  - Spider-Verse Remix  Spider-Man: Across the Spider-Verse  ",32761689
