Number_of_releaded,released_year,artists_name
12,2022,SZA
11,2022,The Weeknd
10,2022,Harry Styles
10,2022,Taylor Swift
9,2022,Bad Bunny
8,2022,Kendrick Lamar
5,2023,Morgan Wallen
4,2022,"Drake, 21 Savage"
3,2021,Doja Cat
3,2021,Olivia Rodrigo
